geometry,geometry_yz
"LINESTRING Z (50289.95431119354 213605.7948223528 2.000000000000003, 50289.69506957843 213605.10399812 2.000000000000003, 50290.1631934906 213604.9283279664 2.000000000000003, 50290.42243510571 213605.6191521992 2.000000000000003)","LINESTRING (213605.7948223528 2.000000000000003, 213605.10399812 2.000000000000003, 213604.9283279664 2.000000000000003, 213605.6191521992 2.000000000000003)"
"LINESTRING Z (50288.73676107276 213602.6034911791 2.000000000000003, 50289.20488498493 213602.4278210255 2.000000000000003, 50289.46412660004 213603.1186452583 2.000000000000003, 50288.99600268787 213603.2943154118 2.000000000000003)","LINESTRING (213602.6034911791 2.000000000000003, 213602.4278210255 2.000000000000003, 213603.1186452583 2.000000000000003, 213603.2943154118 2.000000000000003)"
"LINESTRING Z (50288.54985495416 213606.3216075763 2.000000000000003, 50288.29061333905 213605.6307833436 2.000000000000003, 50288.75873725122 213605.45511319 2.000000000000003, 50289.01797886634 213606.1459374227 2.000000000000003)","LINESTRING (213606.3216075763 2.000000000000003, 213605.6307833436 2.000000000000003, 213605.45511319 2.000000000000003, 213606.1459374227 2.000000000000003)"
"LINESTRING Z (50287.33230483338 213603.1302764026 2.000000000000003, 50287.80042874555 213602.954606249 2.000000000000003, 50288.05967036066 213603.6454304818 2.000000000000003, 50287.5915464485 213603.8211006354 2.000000000000003)","LINESTRING (213603.1302764026 2.000000000000003, 213602.954606249 2.000000000000003, 213603.6454304818 2.000000000000003, 213603.8211006354 2.000000000000003)"
"LINESTRING Z (50287.14539871478 213606.8483927997 2.000000000000003, 50286.88615709968 213606.157568567 2.000000000000003, 50287.35428101185 213605.9818984135 2.000000000000003, 50287.61352262696 213606.6727226462 2.000000000000003)","LINESTRING (213606.8483927997 2.000000000000003, 213606.157568567 2.000000000000003, 213605.9818984135 2.000000000000003, 213606.6727226462 2.000000000000003)"
"LINESTRING Z (50285.92784859402 213603.6570616261 2.000000000000003, 50286.39597250617 213603.4813914725 2.000000000000003, 50286.65521412128 213604.1722157052 2.000000000000003, 50286.18709020912 213604.3478858589 2.000000000000003)","LINESTRING (213603.6570616261 2.000000000000003, 213603.4813914725 2.000000000000003, 213604.1722157052 2.000000000000003, 213604.3478858589 2.000000000000003)"
"LINESTRING Z (50285.74094247542 213607.3751780232 2.000000000000003, 50285.4817008603 213606.6843537905 2.000000000000003, 50285.94982477248 213606.5086836369 2.000000000000003, 50286.20906638758 213607.1995078697 2.000000000000003)","LINESTRING (213607.3751780232 2.000000000000003, 213606.6843537905 2.000000000000003, 213606.5086836369 2.000000000000003, 213607.1995078697 2.000000000000003)"
"LINESTRING Z (50284.52339235464 213604.1838468496 2.000000000000003, 50284.99151626681 213604.008176696 2.000000000000003, 50285.25075788191 213604.6990009287 2.000000000000003, 50284.78263396975 213604.8746710823 2.000000000000003)","LINESTRING (213604.1838468496 2.000000000000003, 213604.008176696 2.000000000000003, 213604.6990009287 2.000000000000003, 213604.8746710823 2.000000000000003)"
"LINESTRING Z (50284.33648623604 213607.9019632467 2.000000000000003, 50284.07724462094 213607.211139014 2.000000000000003, 50284.54536853311 213607.0354688604 2.000000000000003, 50284.80461014821 213607.7262930932 2.000000000000003)","LINESTRING (213607.9019632467 2.000000000000003, 213607.211139014 2.000000000000003, 213607.0354688604 2.000000000000003, 213607.7262930932 2.000000000000003)"
"LINESTRING Z (50283.11893611527 213604.7106320731 2.000000000000003, 50283.58706002743 213604.5349619195 2.000000000000003, 50283.84630164254 213605.2257861522 2.000000000000003, 50283.37817773037 213605.4014563058 2.000000000000003)","LINESTRING (213604.7106320731 2.000000000000003, 213604.5349619195 2.000000000000003, 213605.2257861522 2.000000000000003, 213605.4014563058 2.000000000000003)"
